Nome,Usuário,Partido,Orientação Política
Natalia Bonavides,natbonavides,PT,Esquerda
Joao Maia,depjoaomaia,PR,Direita
General Girao Monteiro,GeneralGirao,PSL,Direita
Fabio Faria ,fabiofaria5555,PSD,Direita
Benes Leocadio,benesleocadiorn,PTC,Direita
Rosa Neide,prof_rosaneide,PT,Esquerda
Neri Geller,NeriGeller,PP,Direita
Nelson Barbudo,nelsonbarbudo,PSL,Direita
JOSe MEDEIROS,JoseMedeirosMT,PODE,Direita
Emanuel Pinheiro Neto,emanuelzinhomt,PTB,Direita
Carlos Bezerra Jr,CarlosBezerraJr,MDB,Centro
