,Nome,Partido,Estado,votos_totalizados,total_de_votos,Ideologia
465,Natalia Bonavides,PT,RN,112998,1966450,Esquerda
466,Mineiro,PT,RN,98070,1966450,Esquerda
467,Paulo Pimenta,PT,RS,133086,6835866,Esquerda
468,Marcon,PT,RS,122838,6835866,Esquerda
469,Henrique Fontana,PT,RS,108585,6835866,Esquerda
470,Bohn Gass,PT,RS,102964,6835866,Esquerda
471,Maria do Rosário,PT,RS,97303,6835866,Esquerda
472,Professor Pedro Uczai,PT,SC,115232,4241667,Esquerda
473,Joao Daniel,PT,SE,59933,1279582,Esquerda
474,Rui Falcão,PT,SP,158389,25921320,Esquerda
475,Carlos Zarattini,PT,SP,137909,25921320,Esquerda
476,Nilto Tatto,PT,SP,124281,25921320,Esquerda
477,Alexandre Padilha,PT,SP,87576,25921320,Esquerda
478,Arlindo Chinaglia,PT,SP,87449,25921320,Esquerda
479,Paulo Teixeira,PT,SP,78512,25921320,Esquerda
480,Vicentinho,PT,SP,70645,25921320,Esquerda
481,Alencar Santana,PT,SP,67892,25921320,Esquerda
482,Celio Moura,PT,TO,18167,831214,Esquerda
483,Nivaldo Albuquerque,PTB,AL,84956,1692875,Direita
484,Pedro Bezerra,PTB,CE,119030,5243490,Direita
485,Pedro Lucas Fernandes,PTB,MA,111538,3604580,Direita
486,Emanuelzinho,PTB,MT,76781,1757368,Direita
487,Paulo Bengtson,PTB,PA,96722,4400611,Direita
488,Eduardo Costa,PTB,PA,75346,4400611,Direita
489,Wilson Santiago,PTB,PB,86208,2435477,Direita
490,Luisa Canziani,PTB,PR,90249,6616901,Direita
491,Maurício Dziedricki,PTB,RS,83617,6835866,Direita
492,Marcelo Moraes,PTB,RS,69904,6835866,Direita
493,Dra. Marina,PTC,PI,70828,1997587,Direita
494,Benes Leocadio,PTC,RN,125841,1966450,Direita
495,Celio Studart,PV,CE,208854,5243490,Esquerda
496,Professor Israel,PV,DF,67598,1691392,Esquerda
497,Leandre,PV,PR,123958,6616901,Esquerda
498,Enrico Misasi,PV,SP,108038,25921320,Esquerda
499,Joenia Wapichana,REDE,RR,8491,286754,Esquerda
500,Dra. Vanda Milani,SOLIDARIEDADE,AC,22219,443429,Centro
501,Bosco Saraiva,SOLIDARIEDADE,AM,55477,1957418,Centro
502,Genecias Noronha,SOLIDARIEDADE,CE,113515,5243490,Centro
503,Lucas Vergílio,SOLIDARIEDADE,GO,78431,3553706,Centro
504,Zé Silva,SOLIDARIEDADE,MG,109335,12211254,Centro
505,Dr Leonardo,SOLIDARIEDADE,MT,52335,1757368,Centro
506,Augusto Coutinho,SOLIDARIEDADE,PE,77817,5391639,Centro
507,Aureo,SOLIDARIEDADE,RJ,68414,9474441,Centro
508,Otaci,SOLIDARIEDADE,RR,11879,286754,Centro
509,Gustinho Ribeiro,SOLIDARIEDADE,SE,64132,1279582,Centro
510,Paulinho da Força,SOLIDARIEDADE,SP,75613,25921320,Centro
511,Tiago Dimas,SOLIDARIEDADE,TO,71842,831214,Centro
512,Eli Borges,SOLIDARIEDADE,TO,48812,831214,Centro
