turno,nacionalidade,uf,codigo,nome,cargo,totalVotos,numeroCandidatoMaisVotado,totalVotosCandidatoMaisVotado,votosHaddad,votosBolsonaro,percentHaddad,percentBolsonaro
2,Exterior,zz,30864,ZURIQUE,presidente,4783,17,2948,1835,2948,0.3836504286012963,0.6163495713987037
2,Exterior,zz,30902,HARTFORD,presidente,972,17,831,141,831,0.1450617283950617,0.8549382716049383
2,Exterior,zz,30961,FARO,presidente,791,17,564,227,564,0.2869785082174462,0.7130214917825537
2,Exterior,zz,38962,DAR ES SALAAM,presidente,13,13,7,7,6,0.5384615384615384,0.4615384615384616
2,Exterior,zz,39004,MENDOZA,presidente,104,17,68,36,68,0.3461538461538461,0.6538461538461539
2,Exterior,zz,39020,ZAGREB,presidente,13,17,8,5,8,0.3846153846153846,0.6153846153846154
2,Exterior,zz,39063,VANCOUVER,presidente,1923,17,1286,637,1286,0.3312532501300052,0.6687467498699948
2,Exterior,zz,39080,ATLANTA,presidente,3299,17,2906,393,2906,0.1191270081842983,0.8808729918157018
2,Exterior,zz,39102,MASCATE,presidente,36,17,32,4,32,0.1111111111111111,0.8888888888888888
2,Exterior,zz,39160,LIUBLIANA,presidente,29,13,15,15,14,0.5172413793103449,0.4827586206896552
2,Exterior,zz,39209,BRATISLAVA,presidente,41,17,26,15,26,0.3658536585365854,0.6341463414634146
2,Exterior,zz,39306,ISTAMBUL,presidente,90,17,55,35,55,0.3888888888888889,0.6111111111111112
2,Exterior,zz,39322,NICOSIA,presidente,22,17,13,9,13,0.4090909090909091,0.5909090909090909
2,Exterior,zz,98000,GUATEMALA,presidente,123,17,103,20,103,0.1626016260162602,0.8373983739837398
2,Exterior,zz,99180,NASSAU,presidente,20,17,16,4,16,0.2,0.8
2,Exterior,zz,99287,LUSACA,presidente,17,17,15,2,15,0.1176470588235294,0.8823529411764706
2,Exterior,zz,99317,TALIN,presidente,38,13,26,26,12,0.6842105263157895,0.3157894736842105
2,Exterior,zz,99430,KINGSTON-JAMAICA,presidente,20,17,17,3,17,0.15,0.85
