,Estado,Partido,qtd_votos,qtd_estado,percent,Ideologia
14,SP,DEM,863226,11965169,7.21,Direita
76,SP,PRB,990010,11965169,8.27,Direita
125,SP,PP,493888,11965169,4.13,Direita
146,SP,PR,1373811,11965169,11.48,Direita
186,SP,PSD,256652,11965169,2.14,Direita
235,SP,PSL,3624935,11965169,30.3,Direita
257,SP,PODEMOS,457056,11965169,3.82,Direita
284,SP,PSC,91797,11965169,0.77,Direita
292,SP,NOVO,316757,11965169,2.65,Direita
40,SP,PCDOB,64822,11965169,0.54,Esquerda
57,SP,PDT,264450,11965169,2.21,Esquerda
166,SP,PSB,392686,11965169,3.28,Esquerda
208,SP,PT,812653,11965169,6.79,Esquerda
270,SP,PV,108038,11965169,0.9,Esquerda
277,SP,PPS,259729,11965169,2.17,Esquerda
297,SP,PSOL,582104,11965169,4.86,Esquerda
33,TO,MDB,40719,384154,10.6,Centro
103,TO,SOLIDARIEDADE,120654,384154,31.41,Centro
15,TO,DEM,96020,384154,25.0,Direita
147,TO,PR,49868,384154,12.98,Direita
285,TO,PSC,58726,384154,15.29,Direita
209,TO,PT,18167,384154,4.73,Esquerda
